taxon,glottocode,xd_ids,soc_ids
Adnyamathanha,adny1235,,
AghuTharrnggala,aghu1254,,
Alyawarr,alya1239,xd964,B117
Aminungo,biri1256,,
Antekerrepenhe,east2379,,
Arabana,arab1267,,
Awabakal,awab1243,,
Badimaya,badi1246,,
Badjiri,badj1244,,
Bandjalang,band1358,xd966,B119
Batyala,baty1234,,
BidyaraGungabula,gung1248,,
Bilinarra,ngar1235,,
Bindal,bind1236,,
Biri,biri1256,,
Birrpayi,sydn1236,,
Bularnu,bula1255,,
Bunganditj,bung1264,,
Colac,cola1237,,
Darkinyung,awab1243,,
DawsonRiver,waka1274,,
Dhangu,dhan1270,,
Dharawal,thur1254,,
Dharuk,sydn1236,,
Dharumbal,dhar1248,,
Dhayyi,djar1245,,
Dhudhuroa,dhud1236,,
Dhurga,dhur1239,,
Dhuwal,dhuw1249,xd777,"Id2, B88"
Dhuwala,mada1281,,
Diyari,dier1241,xd779,"Id4, B121"
Djabugay,dyaa1242,,
Djambarrpuyngu,marr1258,,
Djapu,djap1238,,
Djinang,djin1253,,
Durubul,yaga1256,xd961,B114
Duungidjawu,duun1241,xd962,B115
Dyirbal,dyir1250,"xd954, xd957","B105, B110"
FlindersIsland,flin1247,xd947,B98
Gairi,gayi1238,,
Gamilaraay,gami1243,,
Gangulu,gang1268,,
Garlali,kala1380,,
GoorengGooreng,gure1255,,
Gudjal,gudj1237,,
Gumatj,guma1253,,
Gumbaynggir,kumb1268,,
Gunditjmara,west2443,,
Gundungurra,nort2760,,
Gunggari,kung1258,,
Gunya,guny1241,,
Gupapuyngu,gupa1247,,
Gurindji,guri1247,,
GuuguYimidhirr,gugu1255,,
Guwa,guwa1242,,
Guyani,guya1249,,
Iyora,sydn1236,,
Jaru,jaru1254,xd956,B108
JaruMcC,jaru1254,,
Jiwarli,djiw1241,,
Jiwarliny,walm1241,,
Kaanju,kanj1260,,
Kalkatungu,kalk1246,,
Kamilaroi,gami1243,,
Karajarri,kara1476,xd953,B104
KarajarriNW,kara1476,,
Kariyarra,kari1304,xd780,"Id5, B106"
Karree,awab1243,,
Kartujarra,kart1247,,
Karuwali,karr1236,xd963,B116
Katthang,wori1245,,
Kaurna,kaur1267,xd974,B129
Keramin,nort2756,,
KuguNganhcara,wikn1246,,
Kukatj,guga1239,,
Kukatja,kuka1246,,
KukuYalanji,kuku1273,xd946,B96
KukuYalanjiCurr,kuku1273,,
Kungadutyi,ngur1261,,
Kungkari,kuun1236,,
Kurnu,darl1243,xd973,B128
Kurrama,kurr1243,,
Kurtjar,gurd1238,,
KuukuYau,kuuk1238,,
Linngithigh,leni1238,,
Mabuiag,kala1377,,
Malgana,malg1242,,
Malngin,maln1239,,
Malyangapa,yarl1236,,
MangalaMcK,mang1383,,
MangalaNW,mang1383,,
Margany,marg1253,,
MartuWangka,many1256,xd958,B111
MaryRiverandBunyaBunyaCountry,kabi1260,,
MathiMathi,west2443,,
MayiKulan,mayk1239,,
MayiKutuna,maya1280,,
MayiThakurti,mayk1239,,
MayiYapi,mayk1239,,
Mbabaram,mbab1239,,
Mbakwithi,angu1242,,
Minjungbal,minj1242,,
Mirniny,mirn1245,,
Mithaka,mith1236,,
MountFreelingDiyari,dier1241,,
Mudburra,mudb1240,,
MudburraMcC,mudb1240,,
Muruwari,muru1266,,
Narrungga,naru1238,,
Ngaanyatjarra,ngaa1240,xd965,B118
Ngadjumaya,ngad1258,xd976,B132
Ngadjuri,ngad1257,,
Ngaiawang,nort2756,,
Ngamini,ngam1265,,
Ngardily,nort2753,,
Ngarigu,sout2771,,
Ngarinyman,ngar1235,,
Ngarla,ngar1296,,
Ngarluma,ngar1287,,
Ngarrindjeri,narr1259,xd975,B131
Ngawun,ngaw1240,,
NggoiMwoi,band1339,,
Ngiyambaa,wang1291,xd784,"Id9, B130"
Ngunawal,nort2760,,
Nhanta,nhan1238,,
Nhirrpi,nhir1234,,
NorthernMangarla,mang1383,,
NorthernNyangumarta,nyan1301,,
Nyamal,nyam1271,,
Nyangumarta,nyan1301,,
Nyungar,nyun1247,,
Paakantyi,darl1243,xd973,B128
Pakanh,paka1251,,
Pallanganmiddang,pall1243,,
Panyjima,pany1241,,
Parnkala,bang1339,,
Payungu,bayu1240,,
Piangil,west2443,,
PintupiLuritja,pint1250,xd960,B113
Pirriya,pirr1240,,
Pitjantjatjara,pitj1243,xd967,B120
PittaPitta,pitt1247,,
Rirratjingu,rirr1238,,
Ritharrngu,rita1239,,
SouthernWalmajarri,walm1241,,
Thalanyji,dhal1245,,
Tharrgari,dhar1247,,
Umpila,umpi1239,xd945,B93
Wadjabangayi,bidy1243,,
Wajarri,waja1257,,
Wakaya,waga1260,,
WalmajarriBilliluna,walm1241,,
WalmajarriHR,walm1241,,
WalmajarriNW,walm1241,,
Wangkangurru,wang1290,,
Wangkatja,pint1251,,
Wangkayutyuru,wang1289,,
Wangkumara,wong1246,,
WangkumaraMcDWur,wong1246,,
Wardandi,nyun1247,,
Wargamay,warr1255,,
Warlmanpa,warl1255,,
Warlpiri,warl1254,xd773,"Id10, B109"
Warluwarra,warl1256,,
Warnman,wanm1242,xd959,B112
Warriyangga,wari1262,,
Warumungu,waru1265,,
Warungu,waru1264,xd955,B107
Wathawurrung,wath1238,,
WathiWathi,west2443,,
Watjuk,nyun1247,,
WesternArrarnta,west2441,,
WikMungkan,wikm1247,xd781,"Id6, B90"
Wiradjuri,wira1262,,
Wirangu,wira1265,xd972,B127
Woiwurrung,woiw1237,xd978,B134
Wulguru,wulg1239,,
YabulaYabula,yort1237,,
Yagara,yaga1256,xd962,B115
Yalarnnga,yala1262,,
Yandruwandha,yand1253,,
Yannhangu,yann1237,,
Yanyuwa,yany1243,,
Yarluyandi,yarl1238,,
Yawarrawarrka,yawa1258,,
Yidiny,yidi1250,,
Yindjibarndi,yind1247,,
Yindjilandji,yind1248,,
Yiningay,bidy1243,,
Yirandali,yira1239,,
YortaYorta,yort1237,,
Yugambeh,yugu1249,,
Yulparija,yulp1238,,
Yuwaalaraay,yuwa1242,xd970,B125
